X_Value,Y_Value
1,27.04299927
2,26.99621582
3,26.95156097
4,26.90898514
5,26.86844254
6,26.82988167
7,26.79325485
8,26.75851059
9,26.7256031
10,26.6944809
11,26.66509628
12,26.63740158
13,26.61134338
14,26.58687592
15,26.56394958
16,26.5425148
17,26.52252388
18,26.50392723
19,26.48667526
20,26.47071838
21,26.45600891
22,26.44249535
23,26.43013382
24,26.41886902
25,26.40865707
26,26.39944458
27,26.39118576
28,26.38383102
29,26.37733078
30,26.37163544
31,26.36669731
32,26.36246681
33,26.35889435
34,26.35593033
35,26.35352707
36,26.35163689
37,26.35020638
38,26.34919167
39,26.34853935
40,26.34820175
41,26.34813118
42,26.34827805
43,26.34859276
44,26.34902573
45,26.34952927
46,26.35005379
47,26.35055161
48,26.35097122
49,26.35126305
50,26.3513813
51,26.3512764
52,26.35089684
53,26.35019493
54,26.34912109
55,26.34762764
56,26.34566498
57,26.34318352
58,26.34013557
59,26.33647156
60,26.33213997
61,26.32709503
62,26.32129669
63,26.31475067
64,26.30746841
65,26.29946709
66,26.29076004
67,26.28136253
68,26.27128983
69,26.26055336
70,26.24917221
71,26.23715782
72,26.22452545
73,26.21129036
74,26.1974659
75,26.18306923
76,26.1681118
77,26.15260887
78,26.1365757
79,26.12002754
80,26.10297775
81,26.08544159
82,26.06743431
83,26.04896736
84,26.03005981
85,26.01072311
86,25.99097252
87,25.97082329
88,25.95028877
89,25.92938614
90,25.90812683
91,25.88652611
92,25.86459923
93,25.84236145
94,25.81982613
95,25.79701042
96,25.77392387
97,25.75058556
98,25.72700882
99,25.70320702
100,25.67919731
101,25.65499115
102,25.63060379
103,25.6060524
104,25.58134842
105,25.55650902
106,25.53154755
107,25.50647736
108,25.48131561
109,25.45607376
110,25.43076897
111,25.40541458
112,25.38002777
113,25.35461807
114,25.32920456
115,25.30380058
116,25.27841949
117,25.25307655
118,25.22778702
119,25.20256424
120,25.17742348
121,25.15237999
122,25.12744522
123,25.10262871
124,25.07793427
125,25.05336761
126,25.02893639
127,25.00464439
128,24.98049736
129,24.95650291
130,24.93266487
131,24.90899086
132,24.88548279
133,24.86215019
134,24.83899879
135,24.81603241
136,24.79325676
137,24.77067947
138,24.74830437
139,24.72613716
140,24.70418549
141,24.68245316
142,24.6609478
143,24.63967323
144,24.61863708
145,24.59784317
146,24.57729721
147,24.55700684
148,24.53697777
149,24.51721382
150,24.49772072
151,24.47850609
152,24.45957375
153,24.44093132
154,24.42258263
155,24.40453529
156,24.38679314
157,24.36936378
158,24.35225296
159,24.33546448
160,24.31900406
161,24.30287933
162,24.28709602
163,24.27165794
164,24.25657272
165,24.24184418
166,24.22747993
167,24.21348381
168,24.19986343
169,24.18662453
170,24.1737709
171,24.1613102
