X_Value,Y_Value
1,36.00999832
2,36.10523605
3,36.19615173
4,36.28280258
5,36.36523819
6,36.44351578
7,36.51769257
8,36.58782196
9,36.65396118
10,36.71616364
11,36.77448273
12,36.82897568
13,36.87969589
14,36.92670059
15,36.970047
16,37.0097847
17,37.04597092
18,37.07866287
19,37.10791397
20,37.13378143
21,37.15631866
22,37.17557907
23,37.19161987
24,37.20449448
25,37.2142601
26,37.22097397
27,37.22468567
28,37.22545624
29,37.22333527
30,37.21837997
31,37.21064758
32,37.20018768
33,37.18706512
34,37.17132568
35,37.15302658
36,37.13222885
37,37.10897827
38,37.08333588
39,37.05535889
40,37.02509689
41,36.99260712
42,36.95794678
43,36.92116928
44,36.88233185
45,36.84148407
46,36.79868317
47,36.75399017
48,36.70745468
49,36.6591301
50,36.60907745
51,36.55734634
52,36.50399399
53,36.44907761
54,36.3926506
55,36.3347702
56,36.27548599
57,36.21485901
58,36.15294266
59,36.08978653
60,36.02545547
61,35.95999908
62,35.89347076
63,35.82593155
64,35.75743103
65,35.68802643
66,35.61777496
67,35.54673004
68,35.47494125
69,35.40247345
70,35.32937622
71,35.25570679
72,35.18151855
73,35.10686874
74,35.03181076
75,34.95639801
76,34.88068771
77,34.80473709
78,34.72859955
79,34.65232849
80,34.57598114
81,34.4996109
82,34.42327499
83,34.34702682
84,34.27092361
85,34.19501877
86,34.11936951
87,34.04402542
88,33.96904755
89,33.89448929
90,33.82040787
91,33.74685287
92,33.67388153
93,33.60155487
94,33.52991867
95,33.45903397
96,33.38895416
97,33.31973648
98,33.25143433
99,33.1841011
100,33.11779785
101,33.05257034
102,32.98848343
103,32.92558289
104,32.86393356
105,32.80358505
106,32.74459076
107,32.68701172
108,32.63089752
109,32.57630539
110,32.52328873
111,32.47190857
112,32.42221069
113,32.37425995
114,32.32810593
115,32.28380585
116,32.24141312
117,32.20098495
118,32.16257477
119,32.12623596
120,32.09202576
121,32.06000137
122,32.03019714
123,32.00258636
124,31.97712135
125,31.95375252
126,31.93243408
127,31.91312027
128,31.89576149
129,31.88031387
130,31.86672783
131,31.85495567
132,31.84495354
133,31.83666992
134,31.83006287
135,31.82508087
136,31.82168007
137,31.81981087
138,31.81942558
139,31.82048035
140,31.82292747
141,31.82671738
142,31.83180428
143,31.8381424
144,31.84568405
145,31.85437965
146,31.86418533
147,31.8750515
148,31.88693428
149,31.89978218
150,31.91355133
151,31.92819405
152,31.94366455
153,31.95991135
154,31.97689247
155,31.99455833
156,32.01285934
157,32.03175354
158,32.05119324
159,32.07112503
160,32.09151077
161,32.11229706
162,32.13343811
163,32.15488815
164,32.1765976
165,32.19852066
166,32.22061539
167,32.24282455
168,32.26511002
169,32.28741837
170,32.30970764
171,32.33192825
172,32.35403442
173,32.37597275
174,32.39770508
175,32.41918182
176,32.44035339
177,32.46117401
178,32.48159409
179,32.50157166
180,32.52105713
181,32.54000092
182,32.55836868
183,32.57616425
184,32.59340286
185,32.61009216
186,32.62624741
187,32.64188766
188,32.65702057
189,32.67166138
190,32.68582535
191,32.69952011
192,32.71276855
193,32.72557449
194,32.73796082
195,32.74993134
196,32.76150894
197,32.77269745
198,32.78351974
199,32.79398346
200,32.80410385
201,32.81389618
202,32.82336807
203,32.8325386
204,32.84142303
205,32.85002899
206,32.85837173
207,32.86646652
208,32.8743248
209,32.88196182
210,32.88938904
211,32.89662552
212,32.90367889
213,32.91056061
214,32.91729355
215,32.92388153
216,32.93034363
217,32.93669128
218,32.94293976
219,32.94910049
220,32.95518875
221,32.96121597
222,32.96719742
223,32.97314453
224,32.97907639
225,32.98500061
226,32.99092865
227,32.99688339
228,33.00286865
229,33.0089035
230,33.01499939
231,33.02117157
232,33.0274353
233,33.03379822
234,33.04027557
235,33.04688263
236,33.05363464
237,33.06053925
238,33.06761551
239,33.07487869
240,33.08233261
241,33.09000015
242,33.09788513
243,33.10596848
244,33.11422729
245,33.1226387
246,33.13117599
247,33.13981628
248,33.14853668
249,33.15731049
250,33.16611481
251,33.17492676
252,33.18371964
253,33.19247055
254,33.20115662
255,33.20975113
256,33.2182312
257,33.22657394
258,33.23475647
259,33.24274826
260,33.25053024
261,33.25807953
262,33.2653656
263,33.27236938
264,33.27906799
265,33.28543472
266,33.29144287
267,33.29707336
268,33.3022995
269,33.30709457
270,33.31143951
271,33.31530762
272,33.31867599
273,33.32152176
274,33.32381439
275,33.32553482
276,33.32665634
277,33.32715988
278,33.32701874
279,33.32620239
280,33.32469559
281,33.32247162
282,33.31950378
283,33.3157692
284,33.31124878
285,33.3059082
286,33.29973221
287,33.29269028
288,33.28476334
289,33.27592468
290,33.26615143
291,33.25541687
292,33.24370193
293,33.2309761
294,33.21722031
295,33.20240784
296,33.18651199
297,33.16951752
298,33.15139008
299,33.1321106
300,33.11165619
301,33.09000015
302,33.06714249
303,33.04318237
304,33.01824188
305,32.99243927
306,32.96590424
307,32.93875122
308,32.91110229
309,32.88308716
310,32.85482025
311,32.82642365
312,32.79802704
313,32.76974106
314,32.74169922
315,32.71401215
316,32.68681335
317,32.66021729
318,32.63434601
319,32.60932159
320,32.58527374
321,32.56231308
322,32.54056931
323,32.52016068
324,32.50120926
325,32.48384094
326,32.46817398
327,32.45433044
328,32.4424324
329,32.43260574
330,32.4249649
331,32.41963959
332,32.41674805
333,32.41641235
334,32.41875458
335,32.42389679
336,32.43195724
337,32.44306564
338,32.45734024
339,32.47490311
340,32.49587631
341,32.52037811
342,32.54853821
343,32.58047104
344,32.61630249
345,32.65615463
346,32.70014572
347,32.74840164
348,32.80104446
349,32.85819626
350,32.91997528
351,32.98650742
352,33.05791092
353,33.13431168
354,33.21583176
355,33.30258942
356,33.39471054
357,33.49231339
358,33.59552002
359,33.70445633
360,33.81924057
361,33.93999863
362,34.06679916
363,34.1995163
364,34.33797455
365,34.48200226
366,34.63141632
367,34.78604507
368,34.94570923
369,35.11023712
370,35.27944946
371,35.45317078
372,35.63122559
373,35.81343842
374,35.99963379
375,36.18963623
376,36.38326645
377,36.58034897
378,36.78071213
379,36.98417664
380,37.19056702
381,37.39970398
382,37.61141968
383,37.82553101
384,38.04186249
385,38.26024246
386,38.48049164
387,38.70243454
388,38.92589569
389,39.15069962
390,39.37667084
391,39.60363007
392,39.83140564
393,40.05981445
394,40.28868866
395,40.51785278
396,40.74712372
397,40.97632599
398,41.20529175
399,41.43383789
400,41.66178894
401,41.88896942
402,42.11520767
403,42.3403244
404,42.56414032
405,42.78648376
406,43.00717926
407,43.22604752
408,43.44291687
409,43.65760803
410,43.86994171
411,44.07975006
412,44.28685379
413,44.49107361
414,44.69223785
415,44.89017105
416,45.08469009
417,45.27562714
418,45.46280289
419,45.64604187
420,45.82516479
421,46
422,46.17040634
423,46.33639526
424,46.49800873
425,46.65529633
426,46.8082962
427,46.95706177
428,47.10163498
429,47.24206161
430,47.37838745
431,47.51065826
432,47.63891983
433,47.76321793
434,47.88359451
435,48.00009918
436,48.11277771
437,48.22167206
438,48.32683182
439,48.42829895
440,48.52611923
441,48.62034225
442,48.71100998
443,48.798172
444,48.88186646
445,48.96214294
446,49.03904724
447,49.11262894
448,49.18292618
449,49.24998856
450,49.31385803
451,49.3745842
452,49.43221283
453,49.4867897
454,49.53835678
455,49.58695984
456,49.63264465
457,49.67546082
458,49.71545029
459,49.75266266
460,49.78713608
461,49.81892014
462,49.84806442
463,49.87460709
464,49.89859772
465,49.92008209
466,49.93910217
467,49.95570755
468,49.969944
469,49.98185349
470,49.9914856
471,49.99888229
472,50.00408936
473,50.00715637
474,50.00812149
475,50.00703812
476,50.00394821
477,49.99889755
478,49.99193192
479,49.98309708
480,49.97243881
481,49.95999908
482,49.94582367
483,49.92995071
484,49.91240692
485,49.89322281
486,49.87243652
487,49.85007858
488,49.82617569
489,49.80076218
490,49.77387238
491,49.7455368
492,49.71578598
493,49.68465424
494,49.65216827
495,49.61837006
496,49.58328247
497,49.54693985
498,49.50937271
499,49.4706192
500,49.43070221
501,49.38965988
502,49.34752274
503,49.3043251
504,49.26009369
505,49.21486282
506,49.16866302
507,49.12152863
508,49.07349014
509,49.02458191
510,48.97483063
511,48.92427063
512,48.87294006
513,48.82086182
514,48.76807022
515,48.71459961
516,48.66047668
517,48.60574341
518,48.55042267
519,48.49454498
520,48.43815231
521,48.38126755
522,48.32392502
523,48.26615906
524,48.20800018
525,48.14947891
526,48.09062576
527,48.03147888
528,47.97206497
529,47.91241455
530,47.85256577
531,47.79254532
532,47.73238373
533,47.67211914
534,47.61177826
535,47.55139923
536,47.49100494
537,47.43063354
538,47.37031555
539,47.31008148
540,47.24996567
541,47.18999863
542,47.13020325
543,47.07056046
544,47.01105118
545,46.95164108
546,46.8923111
547,46.83303452
548,46.77378464
549,46.71453857
550,46.65526581
551,46.59594345
552,46.5365448
553,46.47704697
554,46.41741943
555,46.35764313
556,46.29768753
557,46.23752594
558,46.17713928
559,46.11649323
560,46.0555687
561,45.99433899
562,45.9327774
563,45.87085724
564,45.8085556
565,45.74584579
566,45.68270111
567,45.61909485
568,45.55500793
569,45.49040604
570,45.42526627
571,45.35956573
572,45.29327774
573,45.22637939
574,45.15883636
575,45.09062958
576,45.02173615
577,44.95212173
578,44.88177109
579,44.81064987
580,44.7387352
581,44.66600037
582,44.5924263
583,44.51797867
584,44.4426384
585,44.36637497
586,44.2891655
587,44.21098328
588,44.13180161
589,44.05160141
590,43.97034836
591,43.88801956
592,43.80459213
593,43.72003937
594,43.63433456
595,43.54745102
596,43.45936584
597,43.37005234
598,43.2794838
599,43.18763733
600,43.09448242
601,43
602,42.9041748
603,42.80706024
604,42.70872498
605,42.60923386
606,42.50865173
607,42.4070549
608,42.30450058
609,42.20106506
610,42.09680557
611,41.9917984
612,41.8861084
613,41.7797966
614,41.6729393
615,41.56559753
616,41.45784378
617,41.34973907
618,41.2413559
619,41.13275909
620,41.02401733
621,40.91519547
622,40.80636215
623,40.69758606
624,40.58893204
625,40.48046875
626,40.37226486
627,40.26438141
628,40.15689468
629,40.04986572
630,39.94336319
631,39.83745575
632,39.73220825
633,39.62768936
634,39.52396393
635,39.42110443
636,39.31917572
637,39.21824265
638,39.11837387
639,39.01963806
640,38.92210388
641,38.82583237
642,38.730896
643,38.63736343
644,38.54529572
645,38.45476532
646,38.3658371
647,38.27857971
648,38.19305801
649,38.10934448
650,38.02750015
651,37.94759369
652,37.86969757
653,37.79387283
654,37.72018814
655,37.64871216
656,37.57951355
657,37.51265717
658,37.44820786
659,37.3862381
660,37.32681274
661,37.27000046
662,37.2158432
663,37.1642952
664,37.1152916
665,37.06876373
666,37.02463531
667,36.98284912
668,36.94332886
669,36.90600967
670,36.87082291
671,36.83769608
672,36.80656815
673,36.77736282
674,36.75001907
675,36.7244606
676,36.70062637
677,36.67844391
678,36.65784836
679,36.63876343
680,36.6211319
681,36.60487747
682,36.58993149
683,36.5762291
684,36.56369781
685,36.55227661
686,36.54188919
687,36.5324707
688,36.52395248
689,36.51626587
690,36.50934601
691,36.50311661
692,36.49751663
693,36.49246979
694,36.48791885
695,36.48378372
696,36.48000336
697,36.47650909
698,36.47322845
699,36.47009659
700,36.46704102
701,36.46399689
