X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
77,-64408.15937,534551.1875,-110985.5313,423565.6562,87872.14824,400000
78,-64197.23709,534551.1875,-111077.1563,423474.0312,87540.22337,400000
79,-63957.19782,534551.1875,-111143.1875,423408,87205.84321,400000
80,-63689.13699,534551.1875,-111184.5,423366.6875,86869.29605,400000
81,-63394.22069,534551.1875,-111201.9375,423349.25,86530.87021,400000
82,-63073.57124,534551.1875,-111196.4063,423354.7812,86190.854,400000
83,-62728.39886,534551.1875,-111168.7188,423382.4687,85849.53573,400000
84,-62359.78895,534551.1875,-111119.75,423431.4375,85507.20371,400000
85,-61968.90587,534551.1875,-111050.375,423500.8125,85164.14625,400000
86,-61556.91484,534551.1875,-110961.4063,423589.7812,84820.65167,400000
87,-61124.90891,534551.1875,-110853.7188,423697.4687,84477.00826,400000
88,-60674.06083,534551.1875,-110728.2188,423822.9687,84133.50435,400000
89,-60205.55943,534551.1875,-110585.6875,423965.5,83790.42825,400000
90,-59720.469,534551.1875,-110427.0313,424124.1562,83448.06826,400000
91,-59219.98612,534551.1875,-110253.125,424298.0625,83106.71269,400000
92,-58705.27337,534551.1875,-110064.75,424486.4375,82766.64986,400000
93,-58177.39778,534551.1875,-109862.8438,424688.3437,82428.16806,400000
94,-57637.58576,534551.1875,-109648.25,424902.9375,82091.55563,400000
95,-57086.96521,534551.1875,-109421.7813,425129.4062,81757.10086,400000
96,-56526.63827,534551.1875,-109184.3438,425366.8437,81425.09207,400000
97,-55957.79681,534551.1875,-108936.75,425614.4375,81095.81757,400000
98,-55381.54159,534551.1875,-108679.9063,425871.2812,80769.56565,400000
99,-54799.06495,534551.1875,-108414.625,426136.5625,80446.62466,400000
100,-54211.46733,534551.1875,-108141.8125,426409.375,80127.28288,400000
101,-53619.94138,534551.1875,-107862.2813,426688.9062,79811.82862,400000
102,-53025.58725,534551.1875,-107576.9375,426974.25,79500.55021,400000
103,-52429.59738,534551.1875,-107286.5938,427264.5937,79193.73595,400000
104,-51833.07289,534551.1875,-106992.125,427559.0625,78891.67414,400000
105,-51237.17491,534551.1875,-106694.375,427856.8125,78594.65311,400000
