X_Value,Base,Z1_Value,Variation,Y_Value,Z_Value
85,534551.1875,-118810.8359,-111050.375,423500.8125,415740.3516
86,534551.1875,-119038.4375,-110961.4063,423589.7812,415512.75
87,534551.1875,-119265.1641,-110853.7188,423697.4687,415286.0234
88,534551.1875,-119491.0391,-110728.2188,423822.9687,415060.1484
89,534551.1875,-119716.0938,-110585.6875,423965.5,414835.0937
90,534551.1875,-119940.3516,-110427.0313,424124.1562,414610.8359
91,534551.1875,-120163.8281,-110253.125,424298.0625,414387.3594
92,534551.1875,-120386.5547,-110064.75,424486.4375,414164.6328
93,534551.1875,-120608.5547,-109862.8438,424688.3437,413942.6328
94,534551.1875,-120829.8594,-109648.25,424902.9375,413721.3281
95,534551.1875,-121050.4844,-109421.7813,425129.4062,413500.7031
96,534551.1875,-121270.4609,-109184.3438,425366.8437,413280.7266
97,534551.1875,-121489.8125,-108936.75,425614.4375,413061.375
98,534551.1875,-121708.5625,-108679.9063,425871.2812,412842.625
99,534551.1875,-121926.7344,-108414.625,426136.5625,412624.4531
100,534551.1875,-122144.3516,-108141.8125,426409.375,412406.8359
101,534551.1875,-122361.4453,-107862.2813,426688.9062,412189.7422
102,534551.1875,-122578.0391,-107576.9375,426974.25,411973.1484
103,534551.1875,-122794.1563,-107286.5938,427264.5937,411757.0312
104,534551.1875,-123009.8281,-106992.125,427559.0625,411541.3594
105,534551.1875,-123225.0625,-106694.375,427856.8125,411326.125
106,534551.1875,-123439.9063,-106394.25,428156.9375,411111.2812
107,534551.1875,-123654.3672,-106092.5625,428458.625,410896.8203
108,534551.1875,-123868.4766,-105790.1563,428761.0312,410682.7109
109,534551.1875,-124082.2578,-105487.9375,429063.25,410468.9297
110,534551.1875,-124295.7344,-105186.75,429364.4375,410255.4531
111,534551.1875,-124508.9375,-104887.4375,429663.75,410042.25
112,534551.1875,-124721.8828,-104590.875,429960.3125,409829.3047
113,534551.1875,-124934.6094,-104297.875,430253.3125,409616.5781
114,534551.1875,-125147.125,-104009.3438,430541.8437,409404.0625
115,534551.1875,-125359.4688,-103726.1563,430825.0312,409191.7187
116,534551.1875,-125571.6641,-103449.0938,431102.0937,408979.5234
117,534551.1875,-125783.7188,-103179.0938,431372.0937,408767.4687
118,534551.1875,-125995.6797,-102916.9688,431634.2187,408555.5078
119,534551.1875,-126207.5625,-102663.5938,431887.5937,408343.625
120,534551.1875,-126419.3906,-102419.8125,432131.375,408131.7969
121,534551.1875,-126631.1875,-102186.5,432364.6875,407920
122,534551.1875,-126842.9688,-101964.3125,432586.875,407708.2187
123,534551.1875,-127054.6797,-101753.1875,432798,407496.5078
124,534551.1875,-127266.2656,-101552.8125,432998.375,407284.9219
125,534551.1875,-127477.6484,-101362.9375,433188.25,407073.5391
126,534551.1875,-127688.7734,-101183.2813,433367.9062,406862.4141
127,534551.1875,-127899.5703,-101013.5625,433537.625,406651.6172
128,534551.1875,-128109.9844,-100853.5313,433697.6562,406441.2031
129,534551.1875,-128319.9453,-100702.9063,433848.2812,406231.2422
130,534551.1875,-128529.3906,-100561.4063,433989.7812,406021.7969
131,534551.1875,-128738.25,-100428.75,434122.4375,405812.9375
132,534551.1875,-128946.4609,-100304.6563,434246.5312,405604.7266
133,534551.1875,-129153.9688,-100188.9063,434362.2812,405397.2187
134,534551.1875,-129360.7031,-100081.1563,434470.0312,405190.4844
135,534551.1875,-129566.5938,-99981.15625,434570.0313,404984.5937
136,534551.1875,-129771.5859,-99888.65625,434662.5313,404779.6016
137,534551.1875,-129975.6094,-99803.34375,434747.8438,404575.5781
138,534551.1875,-130178.6016,-99724.96875,434826.2188,404372.5859
