X_Value,Base,Variation,Y_Value
137,534551.1875,-99803.34375,434747.8438
138,534551.1875,-99724.96875,434826.2188
139,534551.1875,-99653.28125,434897.9063
140,534551.1875,-99587.9375,434963.25
141,534551.1875,-99528.71875,435022.4688
142,534551.1875,-99475.34375,435075.8438
143,534551.1875,-99427.53125,435123.6563
144,534551.1875,-99385,435166.1875
145,534551.1875,-99347.46875,435203.7188
146,534551.1875,-99314.6875,435236.5
147,534551.1875,-99286.375,435264.8125
148,534551.1875,-99262.25,435288.9375
149,534551.1875,-99242.03125,435309.1563
150,534551.1875,-99225.46875,435325.7188
151,534551.1875,-99212.28125,435338.9063
152,534551.1875,-99202.1875,435349
153,534551.1875,-99194.90625,435356.2813
154,534551.1875,-99190.15625,435361.0313
155,534551.1875,-99187.6875,435363.5
156,534551.1875,-99187.21875,435363.9688
157,534551.1875,-99188.5,435362.6875
158,534551.1875,-99191.1875,435360
159,534551.1875,-99195.0625,435356.125
160,534551.1875,-99199.875,435351.3125
161,534551.1875,-99205.28125,435345.9063
162,534551.1875,-99211.03125,435340.1563
163,534551.1875,-99216.875,435334.3125
164,534551.1875,-99222.53125,435328.6563
165,534551.1875,-99227.6875,435323.5
166,534551.1875,-99232.125,435319.0625
167,534551.1875,-99235.5625,435315.625
168,534551.1875,-99237.6875,435313.5
169,534551.1875,-99238.25,435312.9375
170,534551.1875,-99236.96875,435314.2188
171,534551.1875,-99233.5625,435317.625
172,534551.1875,-99227.78125,435323.4063
173,534551.1875,-99219.3125,435331.875
174,534551.1875,-99207.9375,435343.25
175,534551.1875,-99193.34375,435357.8438
176,534551.1875,-99175.28125,435375.9063
177,534551.1875,-99153.4375,435397.75
178,534551.1875,-99127.5625,435423.625
179,534551.1875,-99097.375,435453.8125
180,534551.1875,-99062.625,435488.5625
181,534551.1875,-99023,435528.1875
182,534551.1875,-98978.3125,435572.875
183,534551.1875,-98928.53125,435622.6563
184,534551.1875,-98873.75,435677.4375
185,534551.1875,-98813.96875,435737.2188
186,534551.1875,-98749.28125,435801.9063
187,534551.1875,-98679.71875,435871.4688
188,534551.1875,-98605.34375,435945.8438
189,534551.1875,-98526.1875,436025
190,534551.1875,-98442.34375,436108.8438
191,534551.1875,-98353.8125,436197.375
192,534551.1875,-98260.6875,436290.5
193,534551.1875,-98163,436388.1875
194,534551.1875,-98060.8125,436490.375
195,534551.1875,-97954.1875,436597
196,534551.1875,-97843.125,436708.0625
197,534551.1875,-97727.75,436823.4375
198,534551.1875,-97608.0625,436943.125
199,534551.1875,-97484.125,437067.0625
200,534551.1875,-97356,437195.1875
201,534551.1875,-97223.75,437327.4375
202,534551.1875,-97087.40625,437463.7813
203,534551.1875,-96947,437604.1875
204,534551.1875,-96802.625,437748.5625
205,534551.1875,-96654.34375,437896.8438
206,534551.1875,-96502.15625,438049.0313
207,534551.1875,-96346.125,438205.0625
208,534551.1875,-96186.34375,438364.8438
209,534551.1875,-96022.84375,438528.3438
210,534551.1875,-95855.65625,438695.5313
211,534551.1875,-95684.875,438866.3125
212,534551.1875,-95510.5,439040.6875
213,534551.1875,-95332.625,439218.5625
214,534551.1875,-95151.28125,439399.9063
215,534551.1875,-94966.5,439584.6875
216,534551.1875,-94778.40625,439772.7813
217,534551.1875,-94586.96875,439964.2188
218,534551.1875,-94392.3125,440158.875
219,534551.1875,-94194.40625,440356.7813
220,534551.1875,-93993.40625,440557.7813
221,534551.1875,-93789.25,440761.9375
222,534551.1875,-93582.09375,440969.0938
223,534551.1875,-93371.9375,441179.25
224,534551.1875,-93158.8125,441392.375
225,534551.1875,-92942.8125,441608.375
226,534551.1875,-92723.96875,441827.2188
227,534551.1875,-92502.34375,442048.8438
228,534551.1875,-92278,442273.1875
229,534551.1875,-92050.96875,442500.2188
230,534551.1875,-91821.28125,442729.9063
231,534551.1875,-91589.0625,442962.125
232,534551.1875,-91354.28125,443196.9063
233,534551.1875,-91117.03125,443434.1563
234,534551.1875,-90877.375,443673.8125
235,534551.1875,-90635.34375,443915.8438
236,534551.1875,-90391,444160.1875
237,534551.1875,-90144.375,444406.8125
238,534551.1875,-89895.5625,444655.625
239,534551.1875,-89644.5625,444906.625
240,534551.1875,-89391.46875,445159.7188
241,534551.1875,-89136.3125,445414.875
242,534551.1875,-88879.09375,445672.0938
243,534551.1875,-88619.625,445931.5625
244,534551.1875,-88357.5625,446193.625
245,534551.1875,-88092.71875,446458.4688
246,534551.1875,-87824.78125,446726.4063
247,534551.1875,-87553.4375,446997.75
248,534551.1875,-87278.5,447272.6875
249,534551.1875,-86999.625,447551.5625
250,534551.1875,-86716.59375,447834.5938
251,534551.1875,-86429.0625,448122.125
252,534551.1875,-86136.84375,448414.3438
253,534551.1875,-85839.625,448711.5625
254,534551.1875,-85537.125,449014.0625
255,534551.1875,-85229.0625,449322.125
256,534551.1875,-84915.1875,449636
257,534551.1875,-84595.25,449955.9375
258,534551.1875,-84268.9375,450282.25
259,534551.1875,-83936,450615.1875
260,534551.1875,-83596.125,450955.0625
261,534551.1875,-83249.09375,451302.0938
262,534551.1875,-82894.625,451656.5625
263,534551.1875,-82532.40625,452018.7813
264,534551.1875,-82162.21875,452388.9688
265,534551.1875,-81783.75,452767.4375
266,534551.1875,-81396.75,453154.4375
267,534551.1875,-81000.90625,453550.2813
268,534551.1875,-80596.03125,453955.1563
269,534551.1875,-80181.75,454369.4375
270,534551.1875,-79757.875,454793.3125
271,534551.1875,-79324.09375,455227.0938
272,534551.1875,-78880.125,455671.0625
